age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
43,11,10,1976,83.0,class FemaleRealTalent,D,160.0,88.0,喜多村牧,60.0,47.0,
47,9,5,1972,97.0,class FemaleRealTalent,DD,158.0,86.0,リサ・アン,51.0,50.0,
26,20,1,1994,80.0,class FemaleRealTalent,C,176.0,90.0,吉川プリアンカ,62.0,60.0,
47,14,7,1972,91.0,class FemaleRealTalent,D,178.0,89.0,ダリル・ハナ,64.0,61.0,
32,21,7,1987,90.0,class FemaleRealTalent,F,168.0,88.0,八幡愛,60.0,50.0,
58,6,8,1961,86.0,class FemaleRealTalent,D,163.0,86.0,カーラ・ロット,61.0,49.0,
36,19,5,1983,88.0,class FemaleRealTalent,C,166.0,94.0,イヴ・エンジェル,64.0,53.0,
38,21,9,1981,86.0,class FemaleRealTalent,C,160.0,86.0,サイセリア,66.0,50.0,
35,26,3,1984,81.0,class FemaleRealTalent,B,160.0,79.0,サラ・ジーン・アンダーウッド,61.0,47.0,
56,19,9,1963,86.0,class FemaleRealTalent,B,162.0,81.0,アレクサンドラ・シルク,61.0,48.0,
35,21,6,1984,91.0,class FemaleRealTalent,C,174.0,91.0,アリシア・アリガッティ,66.0,54.0,
29,14,9,1990,84.0,class FemaleRealTalent,C,159.0,86.0,城山さやか,58.0,46.0,
43,5,3,1976,91.0,class FemaleRealTalent,D,175.0,86.0,レクサス・ロックリア,61.0,50.0,
30,5,9,1989,85.0,class FemaleRealTalent,F,155.5,85.0,宮崎寿々佳,56.0,45.0,
32,23,7,1987,84.0,class FemaleRealTalent,E,160.0,84.0,佐々木悠花,56.0,41.0,
55,22,1,1965,86.0,class FemaleRealTalent,C,173.0,89.0,ビオンカ,64.0,57.0,
37,19,9,1982,81.0,class FemaleRealTalent,C,165.0,84.0,ニコール・ヴォス,58.0,49.0,
29,15,9,1990,88.0,class FemaleRealTalent,F,156.0,85.0,星沢みのり,58.0,46.0,
45,13,11,1974,83.0,class FemaleRealTalent,D,160.0,84.0,CHAMI,60.0,58.0,
32,25,1,1988,86.0,class FemaleRealTalent,D,165.0,89.0,オーロラ・ジョリー,64.0,62.0,
35,21,11,1984,86.0,class FemaleRealTalent,C,178.0,89.0,ホープ・ドラーシク,58.0,57.0,
41,23,11,1978,80.0,class FemaleRealTalent,D,160.0,82.0,黒田よし子,60.0,43.0,
35,23,7,1984,86.0,class FemaleRealTalent,E,158.0,90.0,マリアン・ウォルドロン,62.0,55.0,
45,14,1,1975,86.0,class FemaleRealTalent,DD,165.0,86.0,テイラー・ヘイズ,56.0,48.0,
33,6,7,1986,88.0,class FemaleRealTalent,E,168.0,90.0,野村瑠里,61.0,49.0,
37,16,3,1982,86.0,class FemaleRealTalent,D,167.0,87.0,土性愛,60.0,48.0,
46,13,6,1973,86.0,class FemaleRealTalent,D,170.0,89.0,リーアン・トゥイーデン,61.0,54.0,
35,12,1,1985,90.0,class FemaleRealTalent,D,178.0,98.0,フェルナンダ・ルビオ,66.0,62.0,
50,27,12,1969,86.0,class FemaleRealTalent,C,155.0,91.0,シェイラ・ラヴォー,61.0,48.0,
55,6,11,1964,96.0,class FemaleRealTalent,D,159.0,91.0,アンジェラ・サマーズ,61.0,52.0,
24,1,4,1995,84.0,class FemaleRealTalent,D,155.0,84.0,宍戸まりあ,59.0,43.0,
51,18,9,1968,97.0,class FemaleRealTalent,K,160.0,91.0,クロエ・ヴェヴリエ,66.0,55.0,
70,26,1,1950,99.0,class FemaleRealTalent,DDD,168.0,91.0,ジャネット・ルポー,61.0,57.0,
28,3,10,1991,90.0,class FemaleRealTalent,G,160.0,85.0,はぎのりな,59.0,46.0,
52,26,8,1967,102.0,class FemaleRealTalent,FF,175.0,86.0,ケリー・マディソン,61.0,61.0,
36,26,8,1983,88.0,class FemaleRealTalent,G,162.0,84.0,堂満梨紗,58.0,45.0,
46,31,12,1973,86.0,class FemaleRealTalent,D,155.0,91.0,シナモン・ラブ,61.0,54.0,
22,9,8,1997,86.0,class FemaleRealTalent,I,164.0,87.0,白沢優奈,59.0,49.0,
45,19,3,1974,86.0,class FemaleRealTalent,C,160.0,94.0,ヴィダ・グエラ,64.0,52.0,
31,10,7,1988,89.0,class FemaleRealTalent,F,163.0,85.0,瑞木るう,60.0,48.0,
36,14,6,1983,85.0,class FemaleRealTalent,H,160.0,83.0,三林千夏,58.0,43.0,
52,22,10,1967,86.0,class FemaleRealTalent,C,160.0,89.0,ジャネット・ジャクメ,61.0,54.0,
46,5,8,1973,82.0,class FemaleRealTalent,C,173.0,87.0,加藤珠美,62.0,50.0,
28,30,10,1991,83.0,class FemaleRealTalent,C,163.0,85.0,浅見晶穂,60.0,49.0,
36,7,6,1983,100.0,class FemaleRealTalent,I,157.0,86.0,赤澤圭,58.0,48.0,
33,7,5,1986,85.0,class FemaleRealTalent,E,167.0,86.0,相沢真美,58.0,48.0,
27,1,2,1993,83.0,class FemaleRealTalent,F,154.0,84.0,松尾友莉,59.0,42.0,
